arm,run_dir,client_seed,train_excess_pct,c100_pct,c500_pct,calls,hours,usd
EoH,eoh_main_eoh_800_evt30_s2e2_cs20501_20260908T011156,20501,0.955831,1.419393,0.248386,800,1.575889,0.152470
EoH,eoh_main_eoh_800_evt30_s2e2_cs20502_20260908T011156,20502,3.793138,4.089290,0.546648,800,1.436722,0.145691
EoH,eoh_main_eoh_800_evt30_s2e2_cs20503_20260908T024220,20503,0.955831,1.211175,0.347642,800,1.499389,0.155227
EoH,eoh_main_eoh_800_evt30_s2e2_cs20504_20260908T025704,20504,0.784787,0.953383,1.291808,800,1.433861,0.137303
EoH,eoh_main_eoh_800_evt30_s2e2_cs20505_20260908T041249,20505,1.690311,1.578117,3.576666,800,1.561444,0.163803
EoH,eoh_main_eoh_800_evt30_s2e2_cs20506_20260908T053318,20506,3.008351,3.156771,0.894290,800,1.471250,0.140729
EoH,eoh_main_eoh_800_evt30_s2e2_cs20507_20260908T054908,20507,1.197304,1.250823,0.546648,800,1.528306,0.145757
EoH,eoh_main_eoh_800_evt30_s2e2_cs20508_20260908T072118,20508,1.418654,1.588118,0.496773,800,1.459389,0.143923
EoH,eoh_main_eoh_800_evt30_s2e2_cs20509_20260908T074436,20509,3.853506,4.129077,0.546648,800,1.513611,0.152845
EoH,eoh_main_eoh_800_evt30_s2e2_cs20510_20260908T090018,20510,0.855217,1.002834,0.447145,800,1.533889,0.153998
EoH,eoh_main_eoh_800_evt30_s2e2_cs20601_20260908T122523,20601,0.633867,0.793992,3.576666,800,1.902694,0.148221
EoH,eoh_main_eoh_800_evt30_s2e2_cs20602_20260908T122523,20602,1.267733,1.329928,4.172942,800,2.110194,0.178716
EoH,eoh_main_eoh_800_evt30_s2e2_cs20603_20260908T141633,20603,1.348224,1.588285,0.546648,800,1.961361,0.146101
EoH,eoh_main_eoh_800_evt30_s2e2_cs20604_20260908T143237,20604,0.915585,1.072161,0.546648,800,2.028778,0.154081
EoH,eoh_main_eoh_800_evt30_s2e2_cs20605_20260908T161454,20605,3.038535,3.116606,12.270688,800,1.763139,0.146596
EoH,eoh_main_eoh_800_evt30_s2e2_cs20606_20260908T175849,20606,1.096690,1.310367,1.043174,800,1.721278,0.136097
