arm,run_dir,client_seed,logged_removals,cutoff_changes,cutoff_change_pct
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20501_20260908T011156,20501,602,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20502_20260908T011156,20502,649,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20503_20260908T024659,20503,629,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20504_20260908T040240,20504,649,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20505_20260908T041300,20505,668,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20506_20260908T054106,20506,648,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20507_20260908T055948,20507,665,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20508_20260908T072418,20508,584,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20509_20260908T083455,20509,643,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20510_20260908T090915,20510,618,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20601_20260908T122523,20601,648,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20602_20260908T122523,20602,684,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20603_20260908T142013,20603,703,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20604_20260908T160809,20604,719,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20605_20260908T162059,20605,628,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20606_20260908T180120,20606,685,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20607_20260908T183737,20607,632,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20608_20260908T200145,20608,660,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20609_20260908T215509,20609,662,0,0.0
L_level_T1e-5,eoh_x1_level_T0.00001_800_bh_sigE_s2e2_cs20610_20260908T221355,20610,656,0,0.0
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20501_20260908T011156,20501,715,238,33.28671
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20502_20260908T023839,20502,767,527,68.70926
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20503_20260908T024740,20503,782,217,27.74936
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20504_20260908T041153,20504,757,234,30.91149
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20505_20260908T042338,20505,741,138,18.62348
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20506_20260908T054704,20506,738,198,26.82927
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20507_20260908T070216,20507,763,192,25.16383
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20508_20260908T073713,20508,741,260,35.08772
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20509_20260908T084924,20509,742,222,29.91914
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20510_20260908T091555,20510,749,237,31.64219
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20601_20260908T122523,20601,759,447,58.89328
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20602_20260908T141405,20602,746,140,18.76676
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20603_20260908T142055,20603,772,349,45.20725
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20604_20260908T161427,20604,744,117,15.72581
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20605_20260908T163455,20605,765,224,29.28105
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20606_20260908T181417,20606,776,76,9.79381
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20607_20260908T194252,20607,711,183,25.7384
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20608_20260908T201530,20608,759,200,26.35046
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20609_20260908T215515,20609,745,104,13.95973
N_none_T0.003,eoh_x1_none_T0.003_800_bh_sigE_s2e2_cs20610_20260908T223352,20610,768,491,63.93229
